Numéro,Pokémon,Forme,Rouge,Bleu,Jaune,Or,Argent,Cristal,Rubis,Saphir,Émeraude,Rouge-Feu,Vert-Feuille,Diamant,Perle,Platine,Or HeartGold,Argent SoulSilver,Noire,Blanche,Noire 2,Blanche 2,X,Y,Rubis Omega,Saphir Alpha,Soleil,Lune,Ultra Soleil,Ultra Lune,Let's Go Evoli,Let's Go Pikachu,Épée,Bouclier,Diamant Étincelant,Perle Scintillante,Légendes Arceus,Écarlate,Violet,Légendes ZA
0001,Bulbizarre,,L'un des 3 Pokémon de départ à Bourg Palette,L'un des 3 Pokémon de départ à Bourg Palette,"Centre Pokémon d'Azuria, si Pikachu est suffisamment heureux",Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Pokémon de départ à Bourg Palette,Pokémon de départ à Bourg Palette,Indisponible,Indisponible,Indisponible,"Donné par le Professeur Chen à Bourg Palette une fois Red vaincu (choix entre lui, Salamèche et Carapuce)","Donné par le Professeur Chen à Bourg Palette une fois Red vaincu (choix entre lui, Salamèche et Carapuce)",Indisponible,Indisponible,Indisponible,Indisponible,"Donné par le Professeur Platane à Illumis (choix entre lui, Salamèche et Carapuce)","Donné par le Professeur Platane à Illumis (choix entre lui, Salamèche et Carapuce)",Indisponible,Indisponible,Indisponible,Indisponible,"Scanner des Îles : Vendredi, Route 2","Scanner des Îles : Vendredi, Route 2","Apparition rare à la Forêt de Jade, Offert à Azuria*","Apparition rare à la Forêt de Jade, Offert à Azuria*",Offert par Apia au Dojo de la Maîtrise,Offert par Apia au Dojo de la Maîtrise,"Grotte de la Prairie, Grotte du Marécage, Grotte de la Rivière, Caverne du Miroir d'Eau, Caverne Ensoleillée, Caverne du Marais Sans Fond","Grotte de la Prairie, Grotte du Marécage, Grotte de la Rivière, Caverne du Miroir d'Eau, Caverne Ensoleillée, Caverne du Marais Sans Fond",Incompatible,Zone Côtière,Zone Côtière,Zone Sauvage 20
0002,Herbizarre,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,"Safari des Amis Plante, position 2 (4682-8662-1798)","Safari des Amis Plante, position 2 (4682-8662-1798)",Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Expédition Dynamax,Expédition Dynamax,Faire évoluer Bulbizarre (Niveau 16),Faire évoluer Bulbizarre (Niveau 16),Incompatible,Indisponible,Indisponible,Indisponible
0003,Florizarre,Mâle,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Raid Dynamax,Raid Dynamax,Faire évoluer Herbizarre (Niveau 32),Faire évoluer Herbizarre (Niveau 32),Incompatible,Indisponible,Indisponible,Indisponible
0003,Florizarre,Femelle,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Raid Dynamax,Raid Dynamax,Faire évoluer Herbizarre (Niveau 32),Faire évoluer Herbizarre (Niveau 32),Incompatible,Indisponible,Indisponible,Indisponible
0004,Salamèche,,L'un des 3 Pokémon de départ à Bourg Palette,L'un des 3 Pokémon de départ à Bourg Palette,Donné par un Dresseur sur la Route 24,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Pokémon de départ à Bourg Palette,Pokémon de départ à Bourg Palette,Indisponible,Indisponible,Indisponible,"Donné par le Professeur Chen à Bourg Palette une fois Red vaincu (choix entre lui, Bulbizarre et Carapuce)","Donné par le Professeur Chen à Bourg Palette une fois Red vaincu (choix entre lui, Bulbizarre et Carapuce)",Indisponible,Indisponible,Indisponible,Indisponible,"Donné par le Professeur Platane à Illumis (choix entre lui, Bulbizarre et Carapuce)","Donné par le Professeur Platane à Illumis (choix entre lui, Bulbizarre et Carapuce)",Indisponible,Indisponible,Indisponible,Indisponible,"Scanner des Îles : Dimanche, Route 3","Scanner des Îles : Dimanche, Route 3","Apparition rare à la Grotte Sombre, sur Route 3 et 4, Offert sur Route 24*","Apparition rare à la Grotte Sombre, sur Route 3 et 4, Offert sur Route 24*",Offert à Paddoxton après la Ligue,Offert à Paddoxton après la Ligue,"Grotte du Magma, Grotte des Sables Ardents, Caverne Typhlosion","Grotte du Magma, Grotte des Sables Ardents, Caverne Typhlosion",Incompatible,Zone Savane,Zone Savane,Zone Sauvage 20
0005,Reptincel,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,"Safari des Amis Feu, position 2 (4313-3831-4517)","Safari des Amis Feu, position 2 (4313-3831-4517)",Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Expédition Dynamax,Expédition Dynamax,Faire évoluer Salamèche (Niveau 16),Faire évoluer Salamèche (Niveau 16),Incompatible,Indisponible,Indisponible,Indisponible
0006,Dracaufeu,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Apparition rare dans les airs* au-dessus des Routes,Apparition rare dans les airs* au-dessus des Routes,Raid Dynamax,Raid Dynamax,Faire évoluer Reptincel (Niveau 36),Faire évoluer Reptincel (Niveau 36),Incompatible,Indisponible,Indisponible,Indisponible
0007,Carapuce,,L'un des 3 Pokémon de départ à Bourg Palette,L'un des 3 Pokémon de départ à Bourg Palette,Donné par un Agent Jenny à Carmin sur Mer après avoir obtenu le Badge Foudre,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Pokémon de départ à Bourg Palette,Pokémon de départ à Bourg Palette,Indisponible,Indisponible,Indisponible,"Donné par le Professeur Chen à Bourg Palette une fois Red vaincu (choix entre lui, Bulbizarre et Salamèche)","Donné par le Professeur Chen à Bourg Palette une fois Red vaincu (choix entre lui, Bulbizarre et Salamèche)",Indisponible,Indisponible,Indisponible,Indisponible,"Donné par le Professeur Platane à Illumis (choix entre lui, Bulbizarre et Salamèche)","Donné par le Professeur Platane à Illumis (choix entre lui, Bulbizarre et Salamèche)",Indisponible,Indisponible,Indisponible,Indisponible,"Scanner des Îles : Lundi, Grotte Verlamer","Scanner des Îles : Lundi, Grotte Verlamer","Apparition rare aux Îles Écume, sur Route 24 et 25, Offert à Carmin sur Mer*","Apparition rare aux Îles Écume, sur Route 24 et 25, Offert à Carmin sur Mer*",Offert par Apia au Dojo de la Maîtrise,Offert par Apia au Dojo de la Maîtrise,"Grotte des Eaux Souterraines, Grotte de la Rivière, Caverne du Miroir d'Eau","Grotte des Eaux Souterraines, Grotte de la Rivière, Caverne du Miroir d'Eau",Incompatible,Zone Canyon,Zone Canyon,Zone Sauvage 20
0008,Carabaffe,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,"Safari des Amis Eau, position 2 (1693-1616-2178)","Safari des Amis Eau, position 2 (1693-1616-2178)",Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Expédition Dynamax,Expédition Dynamax,Faire évoluer Carapuce (Niveau 16),Faire évoluer Carapuce (Niveau 16),Incompatible,Indisponible,Indisponible,Indisponible
0009,Tortank,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Raid Dynamax,Raid Dynamax,Faire évoluer Carabaffe (Niveau 36),Faire évoluer Carabaffe (Niveau 36),Incompatible,Indisponible,Indisponible,Indisponible
0010,Chenipan,,"Route 25, Forêt de Jade","Route 2, Route 24, Route 25, Forêt de Jade",Forêt de Jade,"Route 2, Route 30, Route 31, Bois aux Chênes, Parc Naturel, Coup d'Boule, Concours de capture d'insecte (Matin et Jour)",Concours de capture d'insecte (Matin et Jour),"Route 2, Route 24, Route 25, Route 30, Route 31, Bois aux Chênes, Parc Naturel, Concours de capture d'insecte (Matin et Jour)",Indisponible,Indisponible,Indisponible,"Route 2, Route 24, Route 25, Forêt de Jade, Forbuissons","Route 2, Route 24, Route 25, Forêt de Jade, Forbuissons",Route 204,Route 204,"Route 204, Forêt Vestigion (Insertion Rouge Feu)","Route 2, Route 30, Route 31, Bois aux Chênes, Parc Naturel, Forêt de Jade, Concours de capture d'insecte, Coup d'Boule (Matin et Jour)",Concours de capture d'insecte,Indisponible,Indisponible,Indisponible,Indisponible,Forêt de Neuvartault,"Route 2, Forêt de Neuvartault",Indisponible,Indisponible,"Routes 1 et 5, Jardin de Mele-Mele, Jungle Sombrefeuille","Routes 1 et 5, Jardin de Mele-Mele, Jungle Sombrefeuille",Route 1,Route 1,"Route 2, Forêt de Jade","Route 2, Forêt de Jade",Route 1,Route 1,"Grotte Spacieuse, Grotte de la Prairie, Grotte du Marécage, Grotte de la Rivière, Caverne du Miroir d'Eau, Caverne Ensoleillée, Caverne du Marais Sans Fond",Échange,Incompatible,,,
0011,Chrysacier,,"Route 25, Forêt de Jade","Route 24, Route 25, Forêt de Jade",Forêt de Jade,"Route 2, Route 30, Route 31, Bois aux Chênes, Parc Naturel, Coup d'Boule, Concours de capture d'insecte (Matin et Jour)",Concours de capture d'insecte (Matin et Jour),"Route 24, Route 25, Bois aux Chênes, Concours de capture d'insecte (Matin et Jour)",Indisponible,Indisponible,Indisponible,"Route 24, Route 25, Forêt de Jade, Forbuissons","Route 24, Route 25, Forêt de Jade, Forbuissons",Forêt Vestigion (Insertion Rouge Feu),Forêt Vestigion (Insertion Rouge Feu),Forêt Vestigion (Insertion Rouge Feu),"Route 2, Route 30, Route 31, Bois aux Chênes, Parc Naturel, Forêt de Jade, Concours de capture d'insecte (Matin et Jour)",Concours de capture d'insecte (Matin et Jour),Indisponible,Route 12,Indisponible,Indisponible,Indisponible,"Forêt de Neuvartault, Faire évoluer Chenipan au N.7",Indisponible,Indisponible,"Routes 1 et 5, Jardin de Mele-Mele, Jungle Sombrefeuille","Routes 1 et 5, Jardin de Mele-Mele, Jungle Sombrefeuille",Route 5,Route 5,Forêt de Jade,Forêt de Jade,Plaine Verdoyante,Plaine Verdoyante,Faire évoluer Chenipan (Niveau 7),Échange,Incompatible,,,
